日期,经文,内容,状态
2020-11-21,Colossians 1:27-29,"【西1:27】　神愿意叫他们知道，这奥秘在外邦人中有何等丰盛的荣耀，就是基督在你们心里成了有荣耀的盼望。
【西1:28】我们传扬他，是用诸般的智慧劝戒各人、教导各人，要把各人在基督里完完全全地引到　神面前。
【西1:29】我也为此劳苦，照着他在我里面运用的大能尽心竭力。",⏳进行中...
2020-11-22,Colossians 2:1-3,,💒主日休息
2020-11-23,Colossians 2:1-3,"【西2:1】我愿意你们晓得我为你们和老底嘉人，并一切没有与我亲自见面的人，是何等地尽心竭力，
【西2:2】要叫他们的心得安慰，因爱心互相联络，以致丰丰足足在悟性中有充足的信心，使他们真知　神的奥秘，就是基督，
【西2:3】所积蓄的一切智慧知识，都在他里面藏着。",⏳进行中...
2020-11-24,Colossians 2:4-5,"【西2:4】我说这话，免得有人用花言巧语迷惑你们。
【西2:5】我身子虽与你们相离，心却与你们同在，见你们循规蹈矩，信基督的心也坚固，我就欢喜了。",⏳进行中...
2020-11-25,Colossians 2:6-7,"【西2:6】你们既然接受了主基督耶稣，就当遵他而行，
【西2:7】在他里面生根建造，信心坚固，正如你们所领的教训，感谢的心也更增长了。",⏳进行中...
2020-11-26,Colossians 2:8,【西2:8】你们要谨慎，恐怕有人用他的理学和虚空的妄言，不照着基督，乃照人间的遗传和世上的小学，就把你们掳去。,⏳进行中...
2020-11-27,Colossians 2:9-11,"【西2:9】因为　神本性一切的丰盛，都有形有体地居住在基督里面，
【西2:10】你们在他里面也得了丰盛。他是各样执政掌权者的元首。
【西2:11】你们在他里面，也受了不是人手所行的割礼，乃是基督使你们脱去肉体情欲的割礼。",⏳进行中...
2020-11-28,Colossians 2:12-14,"【西2:12】你们既受洗与他一同埋葬，也就在此与他一同复活，都因信那叫他从死里复活　神的功用。
【西2:13】你们从前在过犯和未受割礼的肉体中死了，　神赦免了你们（或作“我们”）一切过犯，便叫你们与基督一同活过来，
【西2:14】又涂抹了在律例上所写攻击我们有碍于我们的字据，把它撤去，钉在十字架上。",⏳进行中...
2020-11-29,Colossians 2:15-17,,💒主日休息
2020-11-30,Colossians 2:15-17,"【西2:15】既将一切执政的掌权的掳来，明显给众人看，就仗着十字架夸胜。
【西2:16】所以不拘在饮食上，或节期、月朔、安息日，都不可让人论断你们。
【西2:17】这些原是后事的影儿，那形体却是基督。",⏳进行中...
2020-12-01,Colossians 2:18-19,"【西2:18】不可让人因着故意谦虚和敬拜天使，就夺去你们的奖赏。这等人拘泥在所见过的（有古卷作“这等人窥察所没有见过的”），随着自己的欲心，无故地自高自大，
【西2:19】不持定元首。全身既然靠着他，筋节得以相助联络，就因　神大得长进。",⏳进行中...
2020-12-02,Colossians 2:20-23,"【西2:20】你们若是与基督同死，脱离了世上的小学，为什么仍像在世俗中活着，服从那“不可拿、不可尝、不可摸”等类的规条呢？
【西2:22】这都是照人所吩咐、所教导的。说到这一切，正用的时候就都败坏了。
【西2:23】这些规条使人徒有智慧之名，用私意崇拜，自表谦卑，苦待己身，其实在克制肉体的情欲上是毫无功效。",⏳进行中...
2020-12-03,Colossians 3:1-2,"【西3:1】所以你们若真与基督一同复活，就当求在上面的事，那里有基督坐在　神的右边。
【西3:2】你们要思念上面的事，不要思念地上的事。",⏳进行中...
2020-12-04,Colossians 3:3-4,"【西3:3】因为你们已经死了，你们的生命与基督一同藏在　神里面。
【西3:4】基督是我们的生命，他显现的时候，你们也要与他一同显现在荣耀里。",⏳进行中...
2020-12-05,Colossians 3:5-7,"【西3:5】所以要治死你们在地上的肢体，就如淫乱、污秽、邪情、恶欲和贪婪，贪婪就与拜偶像一样。
【西3:6】因这些事，　神的忿怒必临到那悖逆之子。
【西3:7】当你们在这些事中活着的时候，也曾这样行过。",⏳进行中...
2020-12-06,Colossians 3:8-10,,💒主日休息
2020-12-07,Colossians 3:8-10,"【西3:8】但现在你们要弃绝这一切的事，以及恼恨、忿怒、恶毒（或作“阴毒”）、毁谤，并口中污秽的言语。
【西3:9】不要彼此说谎，因你们已经脱去旧人和旧人的行为，
【西3:10】穿上了新人，这新人在知识上渐渐更新，正如造他主的形像。",⏳进行中...
2020-12-08,Colossians 3:11-12,"【西3:11】在此并不分希腊人、犹太人、受割礼的、未受割礼的、化外人、西古提人、为奴的、自主的，惟有基督是包括一切，又住在各人之内。
【西3:12】所以你们既是　神的选民，圣洁蒙爱的人，就要存（原文作“穿”。下同）怜悯、恩慈、谦虚、温柔、忍耐的心。",⏳进行中...
2020-12-09,Colossians 3:13-15,"【西3:13】倘若这人与那人有嫌隙，总要彼此包容，彼此饶恕；主怎样饶恕了你们，你们也要怎样饶恕人。
【西3:14】在这一切之外，要存着爱心，爱心就是联络全德的。
【西3:15】又要叫基督的平安在你们心里作主，你们也为此蒙召，归为一体，且要存感谢的心。",⏳进行中...
2020-12-10,Colossians 3:16,【西3:16】当用各样的智慧，把基督的道理丰丰富富地存在心里（或作“当把基督的道理丰丰富富地存在心里，以各样的智慧”），用诗章、颂词、灵歌，彼此教导，互相劝戒，心被恩感，歌颂　神。,⏳进行中...
2020-12-11,Colossians 3:17-19,"【西3:17】无论作什么，或说话、或行事，都要奉主耶稣的名，藉着他感谢父　神。
【西3:18】你们作妻子的，当顺服自己的丈夫，这在主里面是相宜的。
【西3:19】你们作丈夫的，要爱你们的妻子，不可苦待她们。",⏳进行中...
2020-12-12,Colossians 3:20-22,"【西3:20】你们作儿女的，要凡事听从父母，因为这是主所喜悦的。
【西3:21】你们作父亲的，不要惹儿女的气，恐怕他们失了志气。
【西3:22】你们作仆人的，要凡事听从你们肉身的主人，不要只在眼前侍奉，像是讨人喜欢的，总要存心诚实敬畏主。",⏳进行中...
2020-12-13,Colossians 3:23-25,,💒主日休息
2020-12-14,Colossians 3:23-25,"【西3:23】无论作什么，都要从心里作，像是给主作的，不是给人作的，
【西3:24】因你们知道从主那里必得着基业为赏赐。你们所侍奉的乃是主基督。
【西3:25】那行不义的，必受不义的报应，主并不偏待人。",⏳进行中...
2020-12-15,Colossians 4:1,【西4:1】你们作主人的，要公公平平地待仆人，因为知道你们也有一位主在天上。,⏳进行中...
2020-12-16,Colossians 4:2-4,"【西4:2】你们要恒切祷告，在此警醒感恩；
【西4:3】也要为我们祷告，求　神给我们开传道的门，能以讲基督的奥秘（我为此被捆锁），
【西4:4】叫我按着所该说的话将这奥秘发明出来。",⏳进行中...
2020-12-17,Colossians 4:5-6,"【西4:5】你们要爱惜光阴，用智慧与外人交往。
【西4:6】你们的言语要常常带着和气，好像用盐调和，就可知道该怎样回答各人。",⏳进行中...
2020-12-18,Colossians 4:7-8,"【西4:7】有我亲爱的兄弟推基古要将我一切的事都告诉你们。他是忠心的执事，和我一同作主的仆人。
【西4:8】我特意打发他到你们那里去，好叫你们知道我们的光景，又叫他安慰你们的心。",⏳进行中...
2020-12-19,Colossians 4:9-10,"【西4:9】我又打发一位亲爱忠心的兄弟阿尼西母同去，他也是你们那里的人。他们要把这里一切的事都告诉你们。
【西4:10】与我一同坐监的亚里达古问你们安。巴拿巴的表弟马可也问你们安。（说到这马可，你们已经受了吩咐，他若到了你们那里，你们就接待他。）",⏳进行中...
2020-12-20,Colossians 4:11-13,,💒主日休息
2020-12-21,Colossians 4:11-13,"【西4:11】耶数又称为犹士都，也问你们安。奉割礼的人中，只有这三个人是为　神的国与我一同作工的，也是叫我心里得安慰的。
【西4:12】有你们那里的人作基督耶稣仆人的以巴弗问你们安。他在祷告之间，常为你们竭力地祈求，愿你们在　神一切的旨意上得以完全，信心充足，能站立得稳。
【西4:13】他为你们和老底嘉并希拉波立的弟兄多多地劳苦，这是我可以给他作见证的。",⏳进行中...
2020-12-22,Colossians 4:14-15,"【西4:14】所亲爱的医生路加和底马问你们安。
【西4:15】请问老底嘉的弟兄和宁法，并她家里的教会安。",⏳进行中...
2020-12-23,Colossians 4:16-18,"【西4:16】你们念了这书信，便交给老底嘉的教会，叫他们也念，你们也要念从老底嘉来的书信。
【西4:17】要对亚基布说：“务要谨慎，尽你从主所受的职分。”
【西4:18】我保罗亲笔问你们安。你们要记念我的捆锁。愿恩惠常与你们同在！",⏳进行中...
2020-12-24,Colossians 1,,⌛️停休复习
2020-12-25,Colossians 2,,⌛️停休复习
2020-12-26,Colossians 3,,⌛️停休复习
2020-12-27,Colossians 4,,⌛️停休复习
